Location,Year
"Portland, Oregon, United States",2005
"George, Washington, United States",2005
"San Francisco, California, United States",2005
"Los Angeles, California, United States",2005
"Morrison, Colorado, United States",2005
"Indianapolis, Indiana, United States",2005
"Cleveland, Ohio, United States",2005
"Pittsburgh, Pennsylvania, United States",2005
"Raleigh, North Carolina, United States",2005
"Baltimore, Maryland, United States",2005
"New York, New York, United States",2005
"Boston, Massachusetts, United States",2005
"Salem, Oregon, United States",2005
"Milwaukee, Wisconsin, United States",2005
"Chicago, Illinois, United States",2005
"San Diego, California, United States",2005
"Philadelphia, Pennsylvania, United States",2005
"Springfield, Massachusetts, United States",2005
"Providence, Rhode Island, United States",2005
"Newport, Rhode Island, United States",2005
"Nashville, Tennessee, United States",2005
"Richmond, Virginia, United States",2005
"Bridgeport, Connecticut, United States",2005
"Upper Darby, Pennsylvania, United States",2010
"Charlotte, North Carolina, United States",2010
"Nashville, Tennessee, United States",2010
"Asheville, North Carolina, United States",2010
"Atlanta, Georgia, United States",2010
"Omaha, Nebraska, United States",2010
"Kansas City, Missouri, United States",2010
"Tulsa, Oklahoma, United States",2010
"Grand Prairie, Texas, United States",2010
"Houston, Texas, United States",2010
"Austin, Texas, United States",2010
"Mesa, Arizona, United States",2010
"Las Vegas, Nevada, United States",2010
"San Diego, California, United States",2010
"West Palm Beach, Florida, United States",2015
"Memphis, Tennessee, United States",2015
"Fort Lauderdale, Florida, United States",2015
"New Orleans, Louisiana, United States",2015
"Birmingham, Alabama, United States",2015
"Tampa, Florida, United States",2015
"Atlanta, Georgia, United States",2015
"Columbia, South Carolina, United States",2015
"Charlotte, North Carolina, United States",2015
"Norfolk, Virginia, United States",2015
"Louisville, Kentucky, United States",2015
"Cincinnati, Ohio, United States",2015
"Cleveland, Ohio, United States",2015
"Buffalo, New York, United States",2015
"Burlington, Vermont, United States",2015
"Boston, Massachusetts, United States",2015
"Cooperstown, New York, United States",2015
"Asbury Park, New Jersey, United States",2015
"New York, New York, United States",2015
"Brooklyn, New York, United States",2015
"Columbia, Maryland, United States",2015
"Washington, D.C., United States",2015
"Detroit, Michigan, United States",2015
"Chicago, Illinois, United States",2015
"Milwaukee, Wisconsin, United States",2015
"Indianapolis, Indiana, United States",2015
"Cary, North Carolina, United States",2015
"Philadelphia, Pennsylvania, United States",2015
"Denver, Colorado, United States",2015
"Louisville, Kentucky, United States",2019
"Knoxville, Tennessee, United States",2019
"Columbia, South Carolina, United States",2019
"New York, New York, United States",2019
"Albany, New York, United States",2019
"Mashantucket, CT, United States",2019
"Baltimore, Maryland, United States",2019
"Philadelphia, Pennsylvania, United States",2019
"Columbus, Ohio, United States",2019
"Grand Rapids, Michigan, United States",2019
"Memphis, Tennessee, United States",2019
"Wichita, Kansas, United States",2019
"St Louis, Missouri, United States",2019
"Kansas City, Missouri, United States",2019
"Tulsa, Oklahoma, United States",2019
"Des Moines, Iowa, United States",2019
"Saint Paul, Minnesota, United States",2019
"Madison, Wisconsin, United States",2019
"Milwaukee, Wisconsin, United States",2019
"Billings, Montana, United States",2019
"Boise, Idaho, United States",2019
"Portland, Oregon, United States",2019
"Oakland, California, United States",2019
"Reno, Nevada, United States",2019
"Las Vegas, Nevada, United States",2019
"Los Angeles, California, United States",2019
"Pasadena, California, United States",2019
"Philadelphia, Pennsylvania, United States",2019
"Los Angeles, California, United States",2019
"San Francisco, California, United States",2019
"New York, New York, United States",2019
"Boston, Massachusetts, United States",2019
