1840028140,Albany, New York, United States,2019,Pixies,37.8898,-122.3018
1840019176,Albuquerque, New Mexico, United States,2010,Willie Nelson,35.1053,-106.6464
1840003684,Asbury Park, New Jersey, United States,2015,Pixies,40.2226,-74.0119
1840013411,Asheville, North Carolina, United States,2010,Pixies,35.5704,-82.5536
1840019407,Atlanta, Georgia, United States,2019,Bring Me the Horizon,33.1136,-94.1672
1840019407,Atlanta, Georgia, United States,2010,Bring Me the Horizon,33.1136,-94.1672
1840019407,Atlanta, Georgia, United States,2015,Willie Nelson,33.1136,-94.1672
1840019407,Atlanta, Georgia, United States,2010,Willie Nelson,33.1136,-94.1672
1840019407,Atlanta, Georgia, United States,2015,Pixies,33.1136,-94.1672
1840019407,Atlanta, Georgia, United States,2010,Pixies,33.1136,-94.1672
1840029462,Augusta, Georgia, United States,2015,Willie Nelson,33.3645,-82.0708
1840029462,Augusta, Georgia, United States,2010,Willie Nelson,33.3645,-82.0708
1840025590,Aurora, Illinois, United States,2010,Willie Nelson,39.3254,-79.5546
1840025590,Aurora, Illinois, United States,2005,Willie Nelson,39.3254,-79.5546
1840024245,Austin, Texas, United States,2010,Pixies,39.4977,-117.074
1840019148,Bakersfield, California, United States,2010,Bring Me the Horizon,35.3529,-119.0359
1840019148,Bakersfield, California, United States,2005,Willie Nelson,35.3529,-119.0359
1840012468,Baltimore, Maryland, United States,2010,Willie Nelson,39.846,-82.6047
1840012468,Baltimore, Maryland, United States,2019,Pixies,39.846,-82.6047
1840012468,Baltimore, Maryland, United States,2005,Pixies,39.846,-82.6047
1840018977,Bartlesville, Oklahoma, United States,2005,Willie Nelson,36.7357,-95.9453
1840013941,Baton Rouge, Louisiana, United States,2010,Willie Nelson,30.4418,-91.131
1840018914,Berkeley, California, United States,2015,Willie Nelson,37.8723,-122.276
1840020372,Billings, Montana, United States,2010,Willie Nelson,36.5313,-97.4342
1840020372,Billings, Montana, United States,2005,Willie Nelson,36.5313,-97.4342
1840020372,Billings, Montana, United States,2005,Willie Nelson,36.5313,-97.4342
1840020372,Billings, Montana, United States,2019,Pixies,36.5313,-97.4342
1840012674,Birmingham, Alabama, United States,2015,Willie Nelson,39.1674,-94.4502
1840012674,Birmingham, Alabama, United States,2015,Pixies,39.1674,-94.4502
1840027142,Boise, Idaho, United States,2005,Bring Me the Horizon,43.6007,-116.2312
1840027142,Boise, Idaho, United States,2010,Willie Nelson,43.6007,-116.2312
1840027142,Boise, Idaho, United States,2019,Pixies,43.6007,-116.2312
1840026800,Boston, Massachusetts, United States,2019,Pixies,37.7838,-85.6803
1840026800,Boston, Massachusetts, United States,2015,Pixies,37.7838,-85.6803
1840026800,Boston, Massachusetts, United States,2005,Pixies,37.7838,-85.6803
1840033857,Bridgeport, Connecticut, United States,2010,Willie Nelson,43.1545,-75.9734
1840033857,Bridgeport, Connecticut, United States,2005,Pixies,43.1545,-75.9734
1840037916,Bristol, Tennessee, United States,2010,Willie Nelson,42.5378,-88.0149
1840034030,Brooklyn, New York, United States,2015,Pixies,40.6501,-73.9496
1840029024,Brownsville, Texas, United States,2005,Willie Nelson,25.8216,-80.2417
1840026824,Buffalo, New York, United States,2010,Bring Me the Horizon,37.5081,-85.6992
1840026824,Buffalo, New York, United States,2010,Willie Nelson,37.5081,-85.6992
1840026824,Buffalo, New York, United States,2005,Willie Nelson,37.5081,-85.6992
1840026824,Buffalo, New York, United States,2015,Pixies,37.5081,-85.6992
1840025596,Burlington, Vermont, United States,2015,Pixies,39.337,-78.9223
1840024899,Camden, New Jersey, United States,2010,Bring Me the Horizon,36.325,-76.17
1840015130,Cape Coral, Florida, United States,2010,Willie Nelson,26.6446,-81.9956
1840019214,Carson, California, United States,2010,Bring Me the Horizon,33.8374,-118.2559
1840016918,Cary, North Carolina, United States,2015,Pixies,32.8056,-90.9245
1840022414,Charleston, West Virginia, United States,2005,Bring Me the Horizon,40.4661,-111.4599
1840022414,Charleston, West Virginia, United States,2015,Willie Nelson,40.4661,-111.4599
1840019679,Charlotte, North Carolina, United States,2015,Bring Me the Horizon,28.8593,-98.7006
1840019679,Charlotte, North Carolina, United States,2005,Bring Me the Horizon,28.8593,-98.7006
1840019679,Charlotte, North Carolina, United States,2015,Pixies,28.8593,-98.7006
1840019679,Charlotte, North Carolina, United States,2010,Pixies,28.8593,-98.7006
1840022821,Chattanooga, Tennessee, United States,2019,Willie Nelson,34.4242,-98.654
1840026949,Cherokee, North Carolina, United States,2015,Willie Nelson,35.486,-83.3011
1840025738,Chesapeake, Virginia, United States,2010,Willie Nelson,37.1161,-93.6791
1840022709,Cheyenne, Wyoming, United States,2005,Willie Nelson,35.6102,-99.6782
1840000494,Chicago, Illinois, United States,2019,Bring Me the Horizon,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2015,Bring Me the Horizon,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2005,Bring Me the Horizon,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2010,Willie Nelson,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2005,Willie Nelson,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2015,Pixies,41.8373,-87.6862
1840000494,Chicago, Illinois, United States,2005,Pixies,41.8373,-87.6862
1840007203,Cincinnati, Ohio, United States,2010,Bring Me the Horizon,40.6309,-92.9222
1840007203,Cincinnati, Ohio, United States,2015,Pixies,40.6309,-92.9222
1840022448,Cleveland, Ohio, United States,2015,Pixies,39.3494,-110.8556
1840022448,Cleveland, Ohio, United States,2005,Pixies,39.3494,-110.8556
1840017507,Clio, Michigan, United States,2005,Willie Nelson,39.7487,-120.5725
1840018825,Colorado Springs, Colorado, United States,2010,Willie Nelson,38.8674,-104.7606
1840024222,Columbia, Maryland, United States,2019,Willie Nelson,40.926,-75.0945
1840024222,Columbia, South Carolina, United States,2019,Pixies,40.926,-75.0945
1840024222,Columbia, Maryland, United States,2015,Pixies,40.926,-75.0945
1840024222,Columbia, South Carolina, United States,2015,Pixies,40.926,-75.0945
1840023048,Columbus, Ohio, United States,2015,Bring Me the Horizon,31.8273,-107.6423
1840023048,Columbus, Ohio, United States,2005,Willie Nelson,31.8273,-107.6423
1840023048,Columbus, Ohio, United States,2019,Pixies,31.8273,-107.6423
1840004460,Cooperstown, New York, United States,2015,Pixies,42.6996,-74.93
1840019389,Corinth, Mississippi, United States,2010,Willie Nelson,33.1435,-97.0681
1840019718,Corpus Christi, Texas, United States,2010,Willie Nelson,27.726,-97.3755
1840019718,Corpus Christi, Texas, United States,2005,Willie Nelson,27.726,-97.3755
1840019440,Dallas, Texas, United States,2019,Bring Me the Horizon,32.7936,-96.7662
1840019440,Dallas, Texas, United States,2010,Willie Nelson,32.7936,-96.7662
1840019440,Dallas, Texas, United States,2005,Willie Nelson,32.7936,-96.7662
1840019440,Dallas, Texas, United States,2005,Willie Nelson,32.7936,-96.7662
1840034249,Dayton, Ohio, United States,2005,Willie Nelson,39.7797,-84.1998
1840024951,Denver, Colorado, United States,2019,Bring Me the Horizon,35.5344,-81.034
1840024951,Denver, Colorado, United States,2015,Bring Me the Horizon,35.5344,-81.034
1840024951,Denver, Colorado, United States,2005,Willie Nelson,35.5344,-81.034
1840024951,Denver, Colorado, United States,2015,Pixies,35.5344,-81.034
1840022632,Des Moines, Iowa, United States,2010,Willie Nelson,36.7613,-103.8342
1840022632,Des Moines, Iowa, United States,2005,Willie Nelson,36.7613,-103.8342
1840022632,Des Moines, Iowa, United States,2019,Pixies,36.7613,-103.8342
1840024537,Detroit, Michigan, United States,2019,Bring Me the Horizon,38.9358,-97.1247
1840024537,Detroit, Michigan, United States,2019,Willie Nelson,38.9358,-97.1247
1840024537,Detroit, Michigan, United States,2005,Willie Nelson,38.9358,-97.1247
1840024537,Detroit, Michigan, United States,2015,Pixies,38.9358,-97.1247
1840018929,Durango, Colorado, United States,2005,Willie Nelson,37.2659,-107.8782
1840002484,East Troy, Wisconsin, United States,2019,Willie Nelson,42.7848,-88.3973
1840073811,Eastlake, Ohio, United States,2005,Willie Nelson,44.2449,-86.2927
1840023252,El Paso, Texas, United States,2010,Bring Me the Horizon,31.8479,-106.4309
1840023252,El Paso, Texas, United States,2005,Bring Me the Horizon,31.8479,-106.4309
1840023252,El Paso, Texas, United States,2019,Willie Nelson,31.8479,-106.4309
1840023252,El Paso, Texas, United States,2010,Willie Nelson,31.8479,-106.4309
1840021653,Fargo, North Dakota, United States,2010,Willie Nelson,36.3741,-99.6219
1840022953,Fayetteville, North Carolina, United States,2010,Willie Nelson,33.1643,-86.4411
1840022953,Fayetteville, North Carolina, United States,2010,Willie Nelson,33.1643,-86.4411
1840025646,Florence, Arizona, United States,2010,Willie Nelson,38.7836,-84.9238
1840014236,Fort Lauderdale, Florida, United States,2010,Willie Nelson,26.1412,-80.1464
